Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
11095,species,Heart-spotted Woodpecker,Hemicircus canente,Heart-spotted Woodpecker,,,Hemicircus,canente,,Bar-surface Feeder,,X,,
11104,species,Great Slaty Woodpecker,Mulleripicus pulverulentus,Great Slaty Woodpecker,Vulnerable,,Mulleripicus,pulverulentus,,Bar-surface Feeder,,X,,
11107,spuh,woodpecker sp.,Picidae sp.,,,,Picidae,sp.,,Bar-surface Feeder,,X,,
11157,species,Collared Falconet,Microhierax caerulescens,Collared Falconet,,,Microhierax,caerulescens,,Carnivore-Insectivore,X,,,
11165,species,Pied Falconet,Microhierax melanoleucos,Pied Falconet,,,Microhierax,melanoleucos,,Carnivore-Insectivore,X,,,
11166,species,Lesser Kestrel,Falco naumanni,Lesser Kestrel,,,Falco,naumanni,,Carnivore-Insectivore,X,,,
11167,species,Eurasian Kestrel,Falco tinnunculus,Eurasian Kestrel (Common Kestrel),,,Falco,tinnunculus,,Carnivore-Insectivore,X,,,
11181,slash,Lesser/Eurasian Kestrel,Falco naumanni/tinnunculus,,,,Falco,naumanni/tinnunculus,,Carnivore-Insectivore,X,,,
11221,species,Red-necked Falcon,Falco chicquera,Red-necked Falcon,Near-threatened,,Falco,chicquera,,Carnivore-Insectivore,X,,,
11227,species,Amur Falcon,Falco amurensis,Amur Falcon,,,Falco,amurensis,,Carnivore-Insectivore,X,,,
11230,species,Merlin,Falco columbarius,Merlin,,,Falco,columbarius,,Carnivore-Insectivore,X,,,
11241,species,Eurasian Hobby,Falco subbuteo,Eurasian Hobby,,,Falco,subbuteo,,Carnivore-Insectivore,X,,,
11245,species,Oriental Hobby,Falco severus,Oriental Hobby,,,Falco,severus,,Carnivore-Insectivore,X,,,
11271,species,Laggar Falcon,Falco jugger,Laggar Falcon,Near-threatened,,Falco,jugger,,Carnivore-Insectivore,X,,,
11272,species,Saker Falcon,Falco cherrug,Saker Falcon,Endangered,,Falco,cherrug,,Carnivore-Insectivore,X,,,
11276,species,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,,,Falco,peregrinus,,Carnivore-Insectivore,X,,,
11293,issf,Peregrine Falcon (Shaheen),Falco peregrinus peregrinator,Peregrine Falcon,,,Falco,peregrinus,peregrinator,Carnivore-Insectivore,X,,,
11302,spuh,large falcon sp.,Falco sp. (large falcon sp.),,,,Falco,sp.,,Carnivore-Insectivore,X,,,
11303,spuh,small falcon sp.,Falco sp. (small falcon sp.),,,,Falco,sp.,,Carnivore-Insectivore,X,,,
11304,spuh,falcon sp.,Falco sp.,,,,Falco,sp.,,Carnivore-Insectivore,X,,,
11305,spuh,diurnal raptor sp.,Accipitriformes/Falconiformes sp.,,,,Accipitriformes/Falconiformes,sp.,,Carnivore,X,,,
11489,species,Alexandrine Parakeet,Psittacula eupatria,Alexandrine Parakeet,Near-threatened,,Psittacula,eupatria,,Frugivore-Insectivore,,,,
11496,species,Rose-ringed Parakeet,Psittacula krameri,Rose-ringed Parakeet,,,Psittacula,krameri,,Frugivore-Insectivore,,,,
11504,species,Slaty-headed Parakeet,Psittacula himalayana,Slaty-headed Parakeet,,,Psittacula,himalayana,,Frugivore-Insectivore,,,,
11505,species,Gray-headed Parakeet,Psittacula finschii,Grey-headed Parakeet,Near-threatened,,Psittacula,finschii,,Frugivore-Insectivore,,,,
11506,species,Plum-headed Parakeet,Psittacula cyanocephala,Plum-headed Parakeet,,,Psittacula,cyanocephala,,Frugivore-Insectivore,,,,
11507,species,Blossom-headed Parakeet,Psittacula roseata,Blossom-headed Parakeet,Near-threatened,,Psittacula,roseata,,Frugivore-Insectivore,,,,
11510,species,Malabar Parakeet,Psittacula columboides,Malabar Parakeet (Blue-winged Parakeet),,X,Psittacula,columboides,,Frugivore-Insectivore,,,,
11512,species,Derbyan Parakeet,Psittacula derbiana,Derbyan Parakeet,Near-threatened,,Psittacula,derbiana,,Frugivore-Insectivore,,,,
11513,species,Red-breasted Parakeet,Psittacula alexandri,Red-breasted Parakeet,Near-threatened,,Psittacula,alexandri,,Frugivore-Insectivore,,,,
11521,species,Nicobar Parakeet,Psittacula caniceps,Nicobar Parakeet,Near-threatened,,Psittacula,caniceps,,Frugivore-Insectivore,,,,
11523,species,Long-tailed Parakeet,Psittacula longicauda,Long-tailed Parakeet,Near-threatened,,Psittacula,longicauda,,Frugivore-Insectivore,,,,
11823,species,Vernal Hanging-Parrot,Loriculus vernalis,Vernal Hanging-Parrot (Indian Lorikeet),,,Loriculus,vernalis,,Frugivore-Insectivore,,,,
12302,spuh,parakeet sp.,Psittaciformes sp. (parakeet sp.),,,,Psittaciformes,sp.,,Frugivore-Insectivore,,,,
