Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
7227,species,Painted Stork,Mycteria leucocephala,Painted Stork,,,Mycteria,leucocephala,,Aquatic-Carnivore,,,,
7230,spuh,stork sp.,Ciconiidae sp.,stork sp.,,,Ciconiidae,sp.,,Aquatic-Carnivore,,,,
7236,species,Lesser Frigatebird,Fregata ariel,Lesser Frigatebird,,,Fregata,ariel,,Pelagic-Piscivore,,,,
7247,species,Christmas Island Frigatebird,Fregata andrewsi,Christmas Island Frigatebird,Vulnerable,,Fregata,andrewsi,,Pelagic-Piscivore,,,,
7241,species,Great Frigatebird,Fregata minor,Great Frigatebird,,,Fregata,minor,,Pelagic-Piscivore,,,,
7248,spuh,frigatebird sp.,Fregata sp.,frigatebird sp.,,,Fregata,sp.,,Pelagic-Piscivore,,,,
7265,species,Masked Booby,Sula dactylatra,Masked Booby,,,Sula,dactylatra,,Pelagic-Piscivore,,,,
7258,species,Brown Booby,Sula leucogaster,Brown Booby,,,Sula,leucogaster,,Pelagic-Piscivore,,,,
7254,species,Red-footed Booby,Sula sula,Red-footed Booby,,,Sula,sula,,Pelagic-Piscivore,,,,
7302,species,Little Cormorant,Microcarbo niger,Little Cormorant,,,Microcarbo,niger,,Aquatic-Piscivore,,,,
7313,species,Great Cormorant,Phalacrocorax carbo,Great Cormorant,,,Phalacrocorax,carbo,,Aquatic-Piscivore,,,,
7329,species,Indian Cormorant,Phalacrocorax fuscicollis,Indian Cormorant (Indian Shag),,,Phalacrocorax,fuscicollis,,Aquatic-Piscivore,,,,
7290,species,Oriental Darter,Anhinga melanogaster,Oriental Darter,Near Threatened,,Anhinga,melanogaster,,Aquatic-Piscivore,,,,
7705,species,Great White Pelican,Pelecanus onocrotalus,Great White Pelican (Rosy Pelican),,,Pelecanus,onocrotalus,,Aquatic-Piscivore,,,,
7708,species,Spot-billed Pelican,Pelecanus philippensis,Spot-billed Pelican,Near Threatened,,Pelecanus,philippensis,,Aquatic-Piscivore,,,,
7709,species,Dalmatian Pelican,Pelecanus crispus,Dalmatian Pelican,Near Threatened,,Pelecanus,crispus,,Aquatic-Piscivore,,,,
7711,spuh,pelican sp.,Pelecanus sp.,pelican sp.,,,Pelecanus,sp.,,Aquatic-Piscivore,,,,
